NAME,SURNAME,AGE,BALANCE
ALICE,MAZOXHIN,6.46,88
ALICE,PAVLOV,1.31,97
ARTUR,MAZOXHIN,3.85,69
MATHEW,SHTEYNBERG,11.19,4
ALICE,BYSTRITSKY,10.78,99
ARTUR,SHTEYNBERG,18.08,26
ARTUR,MAZOXHIN,8.72,87
ARTUR,SHTEYNBERG,15.79,99
ALICE,TUYZUKOV,2.28,99
MATHEW,SHTEYNBERG,8.86,42
ARTUR,BYSTRITSKY,14.98,91
VADIM,PAVLOV,6.55,31
MATHEW,TUYZUKOV,17.22,24
ILYA,TUYZUKOV,19.13,74
VADIM,SHTEYNBERG,11.31,7
ARTUR,BYSTRITSKY,5.4,10
ILYA,MAZOXHIN,7.15,26
MATHEW,BYSTRITSKY,17.21,35
VADIM,TUYZUKOV,11.17,34
MATHEW,TUYZUKOV,15.29,36
ILYA,SHTEYNBERG,17.46,13
ARTUR,TUYZUKOV,16.52,66
ILYA,TUYZUKOV,10.0,73
VADIM,SHTEYNBERG,7.65,37
ILYA,SHTEYNBERG,13.87,42
ARTUR,SHTEYNBERG,11.62,15
ARTUR,MAZOXHIN,4.83,61
VADIM,BYSTRITSKY,13.75,54
ILYA,PAVLOV,1.75,87
ALICE,PAVLOV,8.04,6
MATHEW,MAZOXHIN,12.24,55
VADIM,BYSTRITSKY,3.85,97
ALICE,TUYZUKOV,13.02,84
VADIM,TUYZUKOV,2.05,60
ILYA,MAZOXHIN,7.71,37
ARTUR,TUYZUKOV,2.96,66
VADIM,TUYZUKOV,9.49,16
ILYA,PAVLOV,10.25,39
ARTUR,SHTEYNBERG,5.33,46
ILYA,MAZOXHIN,18.4,64
MATHEW,TUYZUKOV,18.3,15
VADIM,PAVLOV,15.23,9
MATHEW,BYSTRITSKY,19.73,53
ALICE,TUYZUKOV,16.71,32
ILYA,TUYZUKOV,2.09,81
ALICE,TUYZUKOV,14.07,78
ARTUR,SHTEYNBERG,16.63,50
ILYA,MAZOXHIN,3.64,26
ALICE,BYSTRITSKY,11.71,85
ILYA,SHTEYNBERG,0.25,96
